Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
XD|1370|46.144696|-122.323382|637.3|WGS84|2014-07-21T18:50:27|2014-07-27T00:00:00
XD|1371|46.144723|-122.32216|639.4|WGS84|2014-07-21T18:55:10|2014-07-27T00:00:00
XD|1372|46.1449|-122.320067|648.8|WGS84|2014-07-21T19:00:46|2014-07-27T00:00:00
XD|1373|46.146336|-122.316868|657.0|WGS84|2014-07-21T19:07:59|2014-07-27T00:00:00
XD|1374|46.148138|-122.313068|682.2|WGS84|2014-07-21T19:14:39|2014-07-27T00:00:00
XD|1375|46.148924|-122.31142|688.1|WGS84|2014-07-21T19:19:27|2014-07-27T00:00:00
XD|1376|46.149956|-122.309237|695.3|WGS84|2014-07-21T19:25:37|2014-07-27T00:00:00
XD|1377|46.150108|-122.306232|717.8|WGS84|2014-07-21T19:31:43|2014-07-27T00:00:00
XD|1378|46.148792|-122.302546|726.8|WGS84|2014-07-21T19:37:27|2014-07-27T00:00:00
XD|1379|46.147386|-122.299215|744.3|WGS84|2014-07-21T19:45:14|2014-07-27T00:00:00
XD|1380|46.147465|-122.296075|757.8|WGS84|2014-07-21T19:53:30|2014-07-27T00:00:00
XD|1381|46.147542|-122.292747|753.0|WGS84|2014-07-21T19:57:52|2014-07-27T00:00:00
XD|1382|46.146562|-122.289773|767.5|WGS84|2014-07-21T20:05:26|2014-07-27T00:00:00
XD|1383|46.146325|-122.285999|781.8|WGS84|2014-07-21T20:11:37|2014-07-27T00:00:00
XD|1384|46.146177|-122.283084|789.1|WGS84|2014-07-21T20:16:48|2014-07-27T00:00:00
XD|1385|46.146102|-122.280061|802.2|WGS84|2014-07-21T20:21:46|2014-07-27T00:00:00
XD|1386|46.146503|-122.278158|814.4|WGS84|2014-07-21T20:27:54|2014-07-27T00:00:00
XD|1387|46.147649|-122.275458|843.3|WGS84|2014-07-21T20:31:35|2014-07-27T00:00:00
XD|1388|46.148308|-122.274157|847.6|WGS84|2014-07-22T16:30:34|2014-07-27T00:00:00
XD|1389|46.14927|-122.272881|848.4|WGS84|2014-07-22T16:40:04|2014-07-27T00:00:00
XD|1390|46.150913|-122.271847|863.6|WGS84|2014-07-22T16:45:23|2014-07-27T00:00:00
XD|1391|46.152054|-122.271224|871.7|WGS84|2014-07-22T16:49:38|2014-07-27T00:00:00
XD|1392|46.153118|-122.270114|884.3|WGS84|2014-07-22T16:55:07|2014-07-27T00:00:00
XD|1393|46.154426|-122.269189|881.0|WGS84|2014-07-22T17:01:35|2014-07-27T00:00:00
XD|1394|46.155265|-122.26849|895.8|WGS84|2014-07-22T17:06:16|2014-07-27T00:00:00
XD|1395|46.156981|-122.266917|906.2|WGS84|2014-07-22T17:10:48|2014-07-27T00:00:00
